item_index,step_num,question_type,question,image_path,answer,answer_binary
13,1,question_attr_1,Is there a Housekeeping Staff with tote bag in hand?,..\create_images\multi_step_out\13\step_01.png,yes,1
13,1,question_attr_2,Is there a Housekeeping Staff with mustache?,..\create_images\multi_step_out\13\step_01.png,no,0
13,1,question_attr_3,Is there a Housekeeping Staff with water bottle in hand?,..\create_images\multi_step_out\13\step_01.png,yes,1
13,1,question_attr_4,Is there a Housekeeping Staff wearing headphones?,..\create_images\multi_step_out\13\step_01.png,yes,1
13,1,question_count,Are there four Housekeeping Staff?,..\create_images\multi_step_out\13\step_01.png,yes,1
13,1,question_interaction_1,Is the Housekeeping Staff with tote bag in hand whispering a secret into the other's ear with the Housekeeping Staff with mustache?,..\create_images\multi_step_out\13\step_01.png,no,0
13,1,question_interaction_2,Is the Housekeeping Staff with water bottle in hand looking at the same phone or tablet screen with the Housekeeping Staff wearing headphones?,..\create_images\multi_step_out\13\step_01.png,yes,1
13,2,question_attr_1,Is there a Housekeeping Staff with tote bag in hand?,..\create_images\multi_step_out\13\step_02.png,yes,1
13,2,question_attr_2,Is there a Housekeeping Staff with mustache?,..\create_images\multi_step_out\13\step_02.png,yes,1
13,2,question_attr_3,Is there a Housekeeping Staff with water bottle in hand?,..\create_images\multi_step_out\13\step_02.png,yes,1
13,2,question_attr_4,Is there a Housekeeping Staff wearing headphones?,..\create_images\multi_step_out\13\step_02.png,no,0
13,2,question_count,Are there four Housekeeping Staff?,..\create_images\multi_step_out\13\step_02.png,no,0
13,2,question_interaction_1,Is the Housekeeping Staff with tote bag in hand whispering a secret into the other's ear with the Housekeeping Staff with mustache?,..\create_images\multi_step_out\13\step_02.png,yes,1
13,2,question_interaction_2,Is the Housekeeping Staff with water bottle in hand looking at the same phone or tablet screen with the Housekeeping Staff wearing headphones?,..\create_images\multi_step_out\13\step_02.png,no,0
13,3,question_attr_1,Is there a Housekeeping Staff with tote bag in hand?,..\create_images\multi_step_out\13\step_03.png,yes,1
13,3,question_attr_2,Is there a Housekeeping Staff with mustache?,..\create_images\multi_step_out\13\step_03.png,yes,1
13,3,question_attr_3,Is there a Housekeeping Staff with water bottle in hand?,..\create_images\multi_step_out\13\step_03.png,yes,1
13,3,question_attr_4,Is there a Housekeeping Staff wearing headphones?,..\create_images\multi_step_out\13\step_03.png,yes,1
13,3,question_count,Are there four Housekeeping Staff?,..\create_images\multi_step_out\13\step_03.png,yes,1
13,3,question_interaction_1,Is the Housekeeping Staff with tote bag in hand whispering a secret into the other's ear with the Housekeeping Staff with mustache?,..\create_images\multi_step_out\13\step_03.png,yes,1
13,3,question_interaction_2,Is the Housekeeping Staff with water bottle in hand looking at the same phone or tablet screen with the Housekeeping Staff wearing headphones?,..\create_images\multi_step_out\13\step_03.png,yes,1
13,4,question_attr_1,Is there a Housekeeping Staff with tote bag in hand?,..\create_images\multi_step_out\13\step_04.png,yes,1
13,4,question_attr_2,Is there a Housekeeping Staff with mustache?,..\create_images\multi_step_out\13\step_04.png,yes,1
13,4,question_attr_3,Is there a Housekeeping Staff with water bottle in hand?,..\create_images\multi_step_out\13\step_04.png,yes,1
13,4,question_attr_4,Is there a Housekeeping Staff wearing headphones?,..\create_images\multi_step_out\13\step_04.png,yes,1
13,4,question_count,Are there four Housekeeping Staff?,..\create_images\multi_step_out\13\step_04.png,yes,1
13,4,question_interaction_1,Is the Housekeeping Staff with tote bag in hand whispering a secret into the other's ear with the Housekeeping Staff with mustache?,..\create_images\multi_step_out\13\step_04.png,yes,1
