condition,item_index,question_col,claimed_step,final_step,source,appears_at_step,persists_to_final
real,13,question_attr_1,1,6,own_step,1,1
real,13,question_attr_2,2,6,own_step,1,1
real,13,question_attr_3,1,6,own_step,1,1
real,13,question_attr_4,1,6,own_step,1,1
real,19,question_attr_1,2,6,own_step,1,0
real,19,question_attr_2,1,6,own_step,1,1
real,19,question_attr_3,1,6,own_step,1,1
real,19,question_attr_4,1,6,own_step,1,1
real,52,question_attr_2,1,6,own_step,1,1
real,52,question_attr_3,1,6,own_step,1,1
real,52,question_attr_4,1,6,own_step,1,1
real,62,question_attr_1,1,6,own_step,1,1
real,62,question_attr_3,3,6,own_step,1,1
real,62,question_attr_4,1,6,own_step,1,1
real,68,question_attr_1,1,6,own_step,1,1
real,68,question_attr_2,2,6,own_step,1,1
real,68,question_attr_3,3,6,own_step,1,1
real,68,question_attr_4,3,6,own_step,1,1
real,82,question_attr_1,1,6,own_step,1,1
real,82,question_attr_2,1,6,own_step,1,1
real,82,question_attr_3,1,6,own_step,1,0
real,82,question_attr_4,3,6,own_step,1,1
real,129,question_attr_1,1,6,own_step,1,1
real,129,question_attr_3,3,6,own_step,1,0
real,129,question_attr_4,1,6,own_step,1,1
real,142,question_attr_1,1,6,own_step,1,0
real,142,question_attr_2,2,6,own_step,1,1
real,142,question_attr_3,1,6,own_step,1,0
real,142,question_attr_4,4,6,own_step,1,1
real,160,question_attr_1,1,6,own_step,1,1
real,160,question_attr_2,1,6,own_step,1,1
real,160,question_attr_4,1,6,own_step,1,0
real,247,question_attr_1,1,6,own_step,1,1
real,247,question_attr_2,2,6,own_step,1,1
real,247,question_attr_3,1,6,own_step,1,1
real,247,question_attr_4,1,6,own_step,1,1
shuffled,13,question_attr_1,2,6,shuffled_within_chain,1,1
shuffled,13,question_attr_2,1,6,shuffled_within_chain,0,1
shuffled,13,question_attr_3,2,6,shuffled_within_chain,1,1
shuffled,13,question_attr_4,2,6,shuffled_within_chain,0,1
shuffled,19,question_attr_1,1,6,shuffled_within_chain,0,0
shuffled,19,question_attr_2,2,6,shuffled_within_chain,1,1
shuffled,19,question_attr_3,2,6,shuffled_within_chain,1,1
shuffled,19,question_attr_4,2,6,shuffled_within_chain,0,1
shuffled,62,question_attr_1,3,6,shuffled_within_chain,1,1
shuffled,62,question_attr_3,1,6,shuffled_within_chain,0,1
shuffled,62,question_attr_4,3,6,shuffled_within_chain,1,1
shuffled,68,question_attr_1,2,6,shuffled_within_chain,1,1
shuffled,68,question_attr_2,1,6,shuffled_within_chain,0,1
shuffled,68,question_attr_3,1,6,shuffled_within_chain,0,1
shuffled,68,question_attr_4,1,6,shuffled_within_chain,0,1
shuffled,82,question_attr_1,3,6,shuffled_within_chain,1,1
shuffled,82,question_attr_2,3,6,shuffled_within_chain,1,1
shuffled,82,question_attr_3,3,6,shuffled_within_chain,0,0
shuffled,82,question_attr_4,1,6,shuffled_within_chain,0,1
shuffled,129,question_attr_1,3,6,shuffled_within_chain,1,1
shuffled,129,question_attr_3,1,6,shuffled_within_chain,0,0
shuffled,129,question_attr_4,3,6,shuffled_within_chain,1,1
shuffled,142,question_attr_1,4,6,shuffled_within_chain,1,0
shuffled,142,question_attr_2,1,6,shuffled_within_chain,0,1
shuffled,142,question_attr_3,4,6,shuffled_within_chain,1,0
shuffled,142,question_attr_4,1,6,shuffled_within_chain,0,1
shuffled,247,question_attr_1,2,6,shuffled_within_chain,1,1
shuffled,247,question_attr_2,1,6,shuffled_within_chain,0,1
shuffled,247,question_attr_3,2,6,shuffled_within_chain,1,1
shuffled,247,question_attr_4,2,6,shuffled_within_chain,1,1
substituted,13,question_attr_3,1,6,substituted_from_item_52,0,0
substituted,19,question_attr_1,1,6,substituted_from_item_82,0,0
substituted,52,question_attr_4,1,6,substituted_from_item_160,0,0
substituted,62,question_attr_1,1,6,substituted_from_item_142,0,0
substituted,68,question_attr_4,3,6,substituted_from_item_129,0,0
substituted,82,question_attr_1,1,6,substituted_from_item_19,0,0
substituted,129,question_attr_3,1,6,substituted_from_item_62,0,0
substituted,142,question_attr_1,1,6,substituted_from_item_62,0,0
substituted,160,question_attr_4,1,6,substituted_from_item_68,0,0
substituted,247,question_attr_3,1,6,substituted_from_item_52,0,0
