item_index,step_num,question_type,question,answer,answer_binary,subject,title,num_steps
1,1,question_attr_1,Is there a Marine who is confused?,no,0,Marine (Marine Corps),,6
1,1,question_attr_2,Is there a Marine who has blue eyes?,no,0,Marine (Marine Corps),,6
1,1,question_attr_3,Is there a Marine who wears an eyebrow piercing?,no,0,Marine (Marine Corps),,6
1,1,question_attr_4,Is there a Marine who wears a bracelet?,yes,1,Marine (Marine Corps),,6
1,1,question_count,Are there four Marines?,no,0,Marine (Marine Corps),,6
1,1,question_interaction_1,Is the Marine who is confused kneeling before the Marine who has blue eyes?,no,0,Marine (Marine Corps),,6
1,1,question_interaction_2,Is the Marine who wears an eyebrow piercing doing a fist bump with the Marine who wears a bracelet?,no,0,Marine (Marine Corps),,6
1,2,question_attr_1,Is there a Marine who is confused?,no,0,Marine (Marine Corps),,6
1,2,question_attr_2,Is there a Marine who has blue eyes?,no,0,Marine (Marine Corps),,6
1,2,question_attr_3,Is there a Marine who wears an eyebrow piercing?,no,0,Marine (Marine Corps),,6
1,2,question_attr_4,Is there a Marine who wears a bracelet?,no,0,Marine (Marine Corps),,6
1,2,question_count,Are there four Marines?,no,0,Marine (Marine Corps),,6
1,2,question_interaction_1,Is the Marine who is confused kneeling before the Marine who has blue eyes?,no,0,Marine (Marine Corps),,6
1,2,question_interaction_2,Is the Marine who wears an eyebrow piercing doing a fist bump with the Marine who wears a bracelet?,no,0,Marine (Marine Corps),,6
1,3,question_attr_1,Is there a Marine who is confused?,no,0,Marine (Marine Corps),,6
1,3,question_attr_2,Is there a Marine who has blue eyes?,no,0,Marine (Marine Corps),,6
1,3,question_attr_3,Is there a Marine who wears an eyebrow piercing?,no,0,Marine (Marine Corps),,6
1,3,question_attr_4,Is there a Marine who wears a bracelet?,no,0,Marine (Marine Corps),,6
1,3,question_count,Are there four Marines?,yes,1,Marine (Marine Corps),,6
1,3,question_interaction_1,Is the Marine who is confused kneeling before the Marine who has blue eyes?,no,0,Marine (Marine Corps),,6
1,3,question_interaction_2,Is the Marine who wears an eyebrow piercing doing a fist bump with the Marine who wears a bracelet?,no,0,Marine (Marine Corps),,6
1,4,question_attr_1,Is there a Marine who is confused?,no,0,Marine (Marine Corps),,6
1,4,question_attr_2,Is there a Marine who has blue eyes?,no,0,Marine (Marine Corps),,6
1,4,question_attr_3,Is there a Marine who wears an eyebrow piercing?,no,0,Marine (Marine Corps),,6
1,4,question_attr_4,Is there a Marine who wears a bracelet?,yes,1,Marine (Marine Corps),,6
1,4,question_count,Are there four Marines?,yes,1,Marine (Marine Corps),,6
1,4,question_interaction_1,Is the Marine who is confused kneeling before the Marine who has blue eyes?,no,0,Marine (Marine Corps),,6
1,4,question_interaction_2,Is the Marine who wears an eyebrow piercing doing a fist bump with the Marine who wears a bracelet?,no,0,Marine (Marine Corps),,6
12,1,question_attr_1,Is there a Bartender with wavy hair?,no,0,Bartender,,6
