condition,item_index,question_col,claimed_step,final_step,source,appears_at_step,persists_to_final
real,1,question_attr_4,1,4,own_step,1,1
real,12,question_attr_1,2,4,own_step,1,1
real,12,question_attr_2,1,4,own_step,1,1
real,12,question_attr_4,2,4,own_step,1,1
real,13,question_attr_1,2,4,own_step,1,1
real,13,question_attr_2,1,4,own_step,1,1
real,13,question_attr_3,3,4,own_step,1,1
real,13,question_attr_4,1,4,own_step,1,1
real,14,question_attr_1,1,4,own_step,1,1
real,14,question_attr_3,3,4,own_step,1,1
real,14,question_attr_4,3,4,own_step,1,1
real,18,question_attr_1,1,3,own_step,1,1
real,18,question_attr_3,1,3,own_step,1,1
real,18,question_attr_4,2,3,own_step,1,1
real,19,question_attr_2,2,4,own_step,1,0
real,19,question_attr_3,3,4,own_step,1,1
real,19,question_attr_4,3,4,own_step,1,1
real,20,question_attr_1,2,4,own_step,1,1
real,20,question_attr_3,3,4,own_step,1,1
real,20,question_attr_4,1,4,own_step,1,1
real,21,question_attr_2,2,4,own_step,1,0
real,21,question_attr_4,1,4,own_step,1,0
real,23,question_attr_2,2,4,own_step,1,1
real,23,question_attr_3,1,4,own_step,1,1
real,23,question_attr_4,3,4,own_step,1,1
real,27,question_attr_1,1,4,own_step,1,1
real,27,question_attr_2,3,4,own_step,1,1
real,27,question_attr_3,3,4,own_step,1,1
real,29,question_attr_1,2,4,own_step,1,1
real,29,question_attr_2,2,4,own_step,1,1
real,29,question_attr_3,3,4,own_step,1,0
real,30,question_attr_1,2,4,own_step,1,1
real,30,question_attr_2,2,4,own_step,1,1
real,30,question_attr_3,1,4,own_step,1,0
real,30,question_attr_4,1,4,own_step,1,1
real,31,question_attr_1,2,4,own_step,1,1
real,31,question_attr_2,1,4,own_step,1,1
real,31,question_attr_3,3,4,own_step,1,1
real,31,question_attr_4,1,4,own_step,1,0
real,37,question_attr_1,4,4,own_step,1,1
real,37,question_attr_2,2,4,own_step,1,1
real,37,question_attr_3,1,4,own_step,1,1
real,37,question_attr_4,1,4,own_step,1,1
real,46,question_attr_1,2,4,own_step,1,1
real,46,question_attr_2,1,4,own_step,1,1
real,48,question_attr_1,2,4,own_step,1,0
real,48,question_attr_2,2,4,own_step,1,1
real,48,question_attr_4,3,4,own_step,1,1
real,49,question_attr_1,2,4,own_step,1,1
